task,episode,frames,accuracy,precision,recall
screw tighten the knob of the thermal cycler,logs/thermal_cycler_tasks/screw_tighten_knob_0005_3090,383,0.8798955613577023,0.684931506849315,1.0
screw tighten the knob of the thermal cycler,logs/thermal_cycler_tasks/screw_tighten_knob_0006_7209,382,0.7827225130890052,0.5414364640883977,1.0
screw tighten the knob of the thermal cycler,logs/thermal_cycler_tasks/screw_tighten_knob_0007_9697,382,0.9109947643979057,0.7443609022556391,1.0
screw tighten the knob of the thermal cycler,logs/thermal_cycler_tasks/screw_tighten_knob_0008_9691,378,0.8571428571428571,0.6447368421052632,1.0
screw tighten the knob of the thermal cycler,logs/thermal_cycler_tasks/screw_tighten_knob_0009_1585,380,0.6578947368421053,0.4298245614035088,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0000_3092,612,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0001_2160,610,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0002_2315,612,0.9983660130718954,0.9864864864864865,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0003_9064,614,0.998371335504886,0.9863013698630136,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0004_4537,609,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0005_7543,612,0.9983660130718954,1.0,0.9863013698630136
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0006_1009,612,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0007_3423,611,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0008_6729,608,1.0,1.0,1.0
take pcrPlate from the thermal cycler,logs/thermal_cycler_tasks/take_pcrPlate_from_thermalCycler_0009_1640,610,0.9983606557377049,0.9864864864864865,1.0
