task,time_bin,time_start,time_end,frames,positive_fraction,false_positive_fraction,false_negative_fraction
take pcrPlate from the thermal cycler,0,0.0,0.05,310,0.0,0.0,0.0
take pcrPlate from the thermal cycler,1,0.05,0.1,305,0.0,0.0,0.0
take pcrPlate from the thermal cycler,2,0.1,0.15,305,0.0,0.0,0.0
take pcrPlate from the thermal cycler,3,0.15,0.2,305,0.0,0.0,0.0
take pcrPlate from the thermal cycler,4,0.2,0.25,304,0.0,0.0,0.0
take pcrPlate from the thermal cycler,5,0.25,0.3,306,0.0,0.0,0.0
take pcrPlate from the thermal cycler,6,0.3,0.35,304,0.0,0.0,0.0
take pcrPlate from the thermal cycler,7,0.35,0.4,306,0.0,0.0,0.0
take pcrPlate from the thermal cycler,8,0.4,0.45,304,0.0,0.0,0.0
take pcrPlate from the thermal cycler,9,0.45,0.5,305,0.0,0.0,0.0
take pcrPlate from the thermal cycler,10,0.5,0.55,307,0.0,0.0,0.0
take pcrPlate from the thermal cycler,11,0.55,0.6,303,0.0,0.0,0.0
take pcrPlate from the thermal cycler,12,0.6,0.65,307,0.0,0.0,0.0
take pcrPlate from the thermal cycler,13,0.65,0.7,303,0.0,0.0,0.0
take pcrPlate from the thermal cycler,14,0.7,0.75,306,0.0,0.0,0.0
take pcrPlate from the thermal cycler,15,0.75,0.8,304,0.0,0.0,0.0
take pcrPlate from the thermal cycler,16,0.8,0.85,306,0.0,0.0,0.0
take pcrPlate from the thermal cycler,17,0.85,0.9,304,0.3684210526315789,0.009868421052631578,0.003289473684210526
take pcrPlate from the thermal cycler,18,0.9,0.95,306,1.0,0.0,0.0
take pcrPlate from the thermal cycler,19,0.95,1.0,310,1.0,0.0,0.0
